chrom	start	end	frequency
chr2	8166000	8167000	5
chr2	8167000	8177000	6
chr2	8177000	8206000	7
chr2	8206000	8210000	6
chr2	8210000	8279000	1
chr2	8697000	8740000	1
chr2	8740000	8752000	4
chr2	8752000	8760000	3
chr2	8760000	8767000	2
chr2	8979000	9006000	1
chr2	9954000	9957000	1
chr2	9957000	9958000	5
chr2	9958000	10057000	11
chr2	10057000	10082000	10
chr2	10082000	10083000	2
chr2	10141000	10166000	1
chr2	10709000	10820000	1
chr2	11060000	11076000	1
chr2	11145000	11147000	1
chr2	11147000	11159000	2
chr2	11159000	11176000	9
chr2	11176000	11177000	11
chr2	11177000	11192000	12
chr2	11192000	11193000	11
chr2	11193000	11212000	3
chr2	11212000	11215000	1
chr2	11305000	11306000	2
chr2	11306000	11307000	4
chr2	11307000	11491000	8
chr2	11491000	11514000	6
chr2	11514000	11522000	5
chr2	11522000	11527000	3
chr2	11527000	11529000	2
chr2	11529000	11532000	1
chr2	11545000	11555000	4
chr2	11555000	11616000	5
chr2	11616000	11618000	4
chr2	11618000	11619000	1
chr2	11660000	11687000	1
chr2	11687000	11708000	2
chr2	11721000	11746000	1
chr2	11793000	11794000	3
chr2	11794000	11801000	14
chr2	11801000	11803000	15
chr2	11803000	11806000	16
chr2	11806000	11808000	17
chr2	11808000	11811000	18
chr2	11811000	11813000	19
chr2	11813000	11817000	18
chr2	11817000	11818000	20
chr2	11818000	11819000	25
chr2	11819000	11820000	32
chr2	11820000	11821000	37
chr2	11821000	11822000	37
chr2	11822000	11823000	36
chr2	11823000	11824000	37
chr2	11824000	11826000	51
chr2	11826000	11827000	53
chr2	11827000	11830000	54
chr2	11830000	11847000	55
chr2	11847000	11856000	56
chr2	11856000	11857000	50
chr2	11857000	11858000	47
chr2	11858000	11860000	46
chr2	11860000	11861000	34
chr2	11861000	11865000	25
chr2	11865000	11866000	21
chr2	11866000	11867000	20
chr2	11867000	11868000	19
chr2	11868000	11870000	19
chr2	11870000	11871000	25
chr2	11871000	11872000	24
chr2	11872000	11873000	23
chr2	11873000	11890000	22
chr2	11890000	11891000	19
chr2	11891000	11892000	21
chr2	11892000	11895000	25
chr2	11895000	11913000	26
chr2	11913000	11915000	24
chr2	11915000	11920000	23
chr2	11920000	11927000	26
chr2	11927000	11940000	25
chr2	11940000	11941000	23
chr2	11941000	11942000	20
chr2	11942000	11943000	19
chr2	11943000	11946000	15
chr2	11946000	11947000	14
chr2	11947000	11948000	13
chr2	11948000	11949000	12
chr2	11949000	11950000	13
chr2	11950000	11953000	14
chr2	11953000	11955000	13
chr2	11955000	11970000	13
chr2	11970000	11974000	11
chr2	11974000	11975000	10
chr2	11975000	11984000	9
chr2	11984000	11988000	8
chr2	11988000	11990000	9
chr2	11990000	11991000	4
chr2	11991000	11995000	5
chr2	11995000	11997000	3
chr2	11997000	12004000	3
chr2	12004000	12039000	4
chr2	12039000	12074000	6
chr2	12074000	12076000	8
chr2	12076000	12105000	9
chr2	12105000	12125000	8
chr2	12125000	12136000	2
chr2	12136000	12139000	1
chr2	12292000	12295000	1
chr2	12295000	12296000	3
chr2	12296000	12308000	8
chr2	12308000	12340000	9
chr2	12340000	12341000	14
chr2	12341000	12346000	15
chr2	12346000	12347000	8
chr2	12347000	12350000	7
chr2	12350000	12372000	6
chr2	12372000	12373000	1
chr2	12410000	12413000	1
chr2	12413000	12414000	3
chr2	12414000	12415000	6
chr2	12415000	12418000	21
chr2	12418000	12419000	23
chr2	12419000	12429000	53
chr2	12429000	12455000	54
chr2	12455000	12456000	52
chr2	12456000	12459000	51
chr2	12459000	12460000	29
chr2	12460000	12461000	14
chr2	12461000	12462000	7
chr2	12462000	12464000	6
chr2	12464000	12466000	5
chr2	12466000	12468000	3
chr2	12788000	12789000	7
chr2	12789000	12824000	10
chr2	13108000	13112000	2
chr2	13112000	13141000	4
chr2	13141000	13152000	1
chr2	14066000	14070000	1
chr2	14070000	14097000	2
chr2	14097000	14104000	3
chr2	14104000	14167000	1
chr2	14276000	14285000	1
chr2	14337000	14338000	1
chr2	14338000	14366000	2
chr2	14366000	14367000	3
chr2	14367000	14391000	4
chr2	14391000	14468000	5
chr2	14468000	14507000	6
chr2	14507000	14546000	7
chr2	14546000	14551000	8
chr2	14551000	14565000	9
chr2	14565000	14594000	8
chr2	14594000	14598000	5
chr2	14598000	14647000	4
chr2	14647000	14654000	3
chr2	14654000	14657000	2
chr2	15744000	15748000	1
chr2	15748000	15749000	3
chr2	15749000	15762000	21
chr2	15762000	15799000	27
chr2	15799000	15800000	22
chr2	15800000	15804000	19
chr2	15804000	15808000	3
chr2	15808000	15809000	2
chr2	15915000	15958000	2
chr2	16216000	16253000	1
chr2	16388000	16405000	1
chr2	17127000	17192000	9
chr2	17192000	17201000	7
chr2	17201000	17209000	8
chr2	17209000	17242000	7
chr2	17242000	17244000	6
chr2	17244000	17245000	5
chr2	17245000	17247000	2
chr2	17247000	17260000	5
chr2	17260000	17277000	3
chr2	17558000	17562000	1
chr2	17562000	17563000	2
chr2	17563000	17605000	3
chr2	17605000	17757000	4
chr2	17757000	17760000	6
chr2	17760000	17768000	7
chr2	17768000	17803000	13
chr2	17803000	17815000	11
chr2	17815000	17819000	6
chr2	17819000	17820000	5
chr2	17820000	17826000	4
chr2	17826000	17829000	2
chr2	17829000	17831000	1
chr2	18010000	18026000	1
chr2	18147000	18166000	1
chr2	18166000	18210000	8
chr2	18210000	18229000	7
chr2	18229000	18230000	3
chr2	18272000	18275000	1
chr2	18275000	18276000	6
chr2	18276000	18280000	7
chr2	18280000	18285000	8
chr2	18285000	18286000	12
chr2	18286000	18297000	14
chr2	18297000	18344000	16
chr2	18344000	18345000	10
chr2	18345000	18346000	9
chr2	18346000	18351000	8
chr2	18351000	18352000	7
chr2	18352000	18357000	8
chr2	18357000	18358000	7
chr2	18358000	18391000	6
chr2	18391000	18392000	5
chr2	18392000	18458000	4
chr2	18458000	18459000	2
chr2	18753000	18803000	2
chr2	18803000	18808000	1
chr2	18810000	18816000	5
chr2	18816000	18825000	6
chr2	18825000	18849000	7
chr2	18849000	18894000	6
chr2	18894000	18918000	7
chr2	18918000	18921000	10
chr2	18921000	18922000	12
chr2	18922000	18975000	22
chr2	18975000	18976000	21
chr2	18976000	18977000	17
chr2	18977000	18985000	15
chr2	18985000	19001000	14
chr2	19001000	19002000	11
chr2	19002000	19007000	8
chr2	19007000	19014000	7
chr2	19014000	19033000	8
chr2	19033000	19035000	7
chr2	19035000	19036000	6
chr2	19036000	19037000	5
chr2	19037000	19054000	4
chr2	19054000	19134000	3
chr2	19134000	19137000	1
chr2	19333000	19334000	1
chr2	19334000	19335000	2
chr2	19335000	19341000	3
chr2	19341000	19344000	5
chr2	19344000	19368000	7
chr2	19368000	19449000	8
chr2	19449000	19450000	7
chr2	19450000	19462000	5
chr2	19462000	19463000	2
chr2	19463000	19464000	1
chr2	19529000	19547000	1
chr2	19547000	19555000	2
chr2	19555000	19559000	4
chr2	19559000	19606000	5
chr2	19606000	19610000	4
chr2	19610000	19611000	3
chr2	19611000	19612000	5
chr2	19612000	19620000	7
chr2	19620000	19627000	8
chr2	19627000	19642000	10
chr2	19642000	19675000	9
chr2	19675000	19676000	6
chr2	19676000	19677000	4
chr2	19677000	19681000	2
chr2	19681000	19689000	1
chr2	19774000	19775000	1
chr2	19775000	19785000	13
chr2	19785000	19786000	16
chr2	19786000	19799000	24
chr2	19799000	19800000	22
chr2	19800000	19801000	20
chr2	19801000	19813000	17
chr2	19813000	19823000	13
chr2	19823000	19836000	14
chr2	19836000	19850000	13
chr2	19850000	19853000	14
chr2	19853000	19854000	13
chr2	19854000	19855000	11
chr2	19855000	19856000	10
chr2	19856000	19889000	8
chr2	19889000	19890000	9
chr2	19890000	19891000	4
chr2	19891000	19892000	2
chr2	19892000	19908000	1
chr2	19915000	19916000	1
chr2	19916000	19954000	4
chr2	19954000	19959000	3
chr2	19959000	19960000	2
chr2	19960000	19964000	1
chr2	20191000	20200000	2
chr2	20200000	20205000	3
chr2	20205000	20206000	5
chr2	20206000	20211000	8
chr2	20211000	20213000	10
chr2	20213000	20214000	11
chr2	20214000	20221000	17
chr2	20221000	20262000	18
chr2	20262000	20263000	17
chr2	20263000	20273000	16
chr2	20273000	20312000	15
chr2	20312000	20313000	8
chr2	20313000	20315000	4
chr2	20315000	20317000	3
chr2	20317000	20319000	2
chr2	20319000	20333000	1
chr2	21318000	21319000	6
chr2	21319000	21425000	10
chr2	21425000	21427000	1
chr2	22330000	22331000	8
chr2	22331000	22346000	9
chr2	22346000	22368000	14
chr2	22368000	22405000	16
chr2	22405000	22419000	15
chr2	22419000	22421000	7
chr2	22421000	22422000	4
chr2	22422000	22442000	2
chr2	22442000	22473000	4
chr2	22473000	22482000	3
chr2	22482000	22503000	1
chr2	22829000	22854000	4
chr2	23605000	23606000	4
chr2	23606000	23610000	5
chr2	23610000	23629000	7
chr2	23629000	23630000	4
chr2	23630000	23631000	2
chr2	23631000	23633000	1
chr2	23900000	23907000	1
chr2	23907000	23953000	2
chr2	23953000	24040000	1
chr2	24213000	24214000	1
chr2	24214000	24247000	2
chr2	24247000	24251000	1
chr2	24293000	24295000	2
chr2	24295000	24296000	3
chr2	24296000	24334000	8
chr2	24334000	24335000	9
chr2	24335000	24337000	11
chr2	24337000	24355000	12
chr2	24355000	24385000	11
chr2	24385000	24386000	12
chr2	24386000	24387000	16
chr2	24387000	24393000	18
chr2	24393000	24394000	19
chr2	24394000	24395000	31
chr2	24395000	24439000	32
chr2	24439000	24440000	9
chr2	24440000	24446000	5
chr2	24446000	24449000	4
chr2	24449000	24451000	1
chr2	25062000	25073000	6
chr2	25073000	25119000	7
chr2	25119000	25120000	3
chr2	25120000	25126000	1
chr2	26125000	26159000	1
chr2	27575000	27732000	2
chr2	27732000	27746000	3
chr2	27746000	27864000	2
chr2	27864000	28018000	1
chr2	28018000	28044000	2
chr2	28044000	28083000	3
chr2	28083000	28295000	2
chr2	28295000	28296000	3
chr2	28296000	28302000	4
chr2	28302000	28444000	3
chr2	28444000	28591000	2
chr2	28591000	28592000	3
chr2	28592000	28597000	4
chr2	28597000	28598000	5
chr2	28598000	28602000	6
chr2	28602000	28636000	9
chr2	28636000	28648000	8
chr2	28648000	28649000	5
chr2	28649000	28651000	4
chr2	28651000	28653000	5
chr2	28653000	28671000	11
chr2	28671000	28673000	12
chr2	28673000	28675000	5
chr2	28675000	28677000	2
chr2	28677000	28683000	3
chr2	28683000	28710000	9
chr2	28710000	28718000	8
chr2	28814000	28816000	5
chr2	28816000	28817000	6
chr2	28817000	28818000	10
chr2	28818000	28835000	31
chr2	28835000	28836000	28
chr2	28836000	28858000	27
chr2	28858000	28897000	28
chr2	28897000	28899000	17
chr2	28899000	28904000	15
chr2	28904000	28908000	14
chr2	28908000	28909000	6
chr2	29297000	29412000	1
chr2	29431000	29436000	1
chr2	29436000	29444000	5
chr2	29444000	29454000	6
chr2	29454000	29456000	11
chr2	29456000	29464000	19
chr2	29464000	29469000	18
chr2	29469000	29475000	17
chr2	29475000	29476000	16
chr2	29476000	29479000	14
chr2	29479000	29511000	13
chr2	29511000	29526000	15
chr2	29526000	29530000	14
chr2	29530000	29536000	14
chr2	29536000	29543000	13
chr2	29543000	29549000	14
chr2	29549000	29550000	12
chr2	29550000	29564000	11
chr2	29564000	29565000	12
chr2	29565000	29584000	23
chr2	29584000	29605000	22
chr2	29605000	29614000	21
chr2	29614000	29619000	20
chr2	29619000	29622000	18
chr2	29622000	29624000	16
chr2	29624000	29625000	22
chr2	29625000	29627000	23
chr2	29627000	29628000	14
chr2	29628000	29629000	20
chr2	29629000	29630000	21
chr2	29630000	29643000	19
chr2	29643000	29649000	20
chr2	29649000	29657000	21
chr2	29657000	29663000	20
chr2	29663000	29673000	29
chr2	29673000	29674000	28
chr2	29674000	29682000	22
chr2	29682000	29695000	21
chr2	29695000	29720000	22
chr2	29720000	29726000	20
chr2	29726000	29739000	22
chr2	29739000	29753000	34
chr2	29753000	29754000	33
chr2	29754000	29755000	5
chr2	29755000	29756000	2
chr2	29808000	30004000	1
chr2	30004000	30022000	8
chr2	30022000	30024000	1
chr2	30189000	30216000	4
chr2	30255000	30305000	1
chr2	30333000	30337000	1
chr2	30337000	30402000	6
chr2	30402000	30412000	5
chr2	30412000	30421000	1
chr2	30421000	30423000	2
chr2	30423000	30430000	1
chr2	30430000	30434000	2
chr2	30434000	30461000	3
chr2	30461000	30465000	2
chr2	30465000	30467000	3
chr2	30467000	30511000	2
chr2	30511000	30535000	1
chr2	30879000	30885000	1
chr2	30885000	30887000	2
chr2	30887000	30888000	3
chr2	30888000	30903000	4
chr2	30903000	30904000	5
chr2	30904000	30912000	6
chr2	30912000	30913000	3
chr2	30913000	30956000	2
chr2	30956000	30974000	1
chr2	31015000	31018000	1
chr2	31018000	31037000	2
chr2	31037000	31079000	3
chr2	31079000	31110000	2
chr2	31110000	31115000	1
chr2	31115000	31117000	2
chr2	31117000	31175000	1
chr2	31346000	31455000	1
chr2	31510000	31513000	1
chr2	31513000	31514000	2
chr2	31514000	31547000	4
chr2	31547000	31551000	1
chr2	31606000	31626000	3
chr2	31626000	31632000	4
chr2	31632000	31752000	8
chr2	31752000	32300000	3
chr2	32300000	32478000	2
chr2	32478000	32525000	1
chr2	32537000	32859000	1
chr2	32859000	32982000	2
chr2	32982000	33033000	1
chr2	33123000	33124000	3
chr2	33124000	33125000	4
chr2	33125000	33126000	10
chr2	33126000	33128000	12
chr2	33128000	33146000	18
chr2	33146000	33163000	19
chr2	33163000	33164000	18
chr2	33164000	33171000	15
chr2	33171000	33172000	13
chr2	33172000	33175000	16
chr2	33175000	33176000	17
chr2	33176000	33177000	32
chr2	33177000	33193000	33
chr2	33193000	33195000	32
chr2	33195000	33196000	33
chr2	33196000	33197000	29
chr2	33197000	33198000	34
chr2	33198000	33237000	35
chr2	33237000	33242000	34
chr2	33242000	33290000	37
chr2	33290000	33291000	27
chr2	33291000	33292000	16
chr2	33292000	33297000	12
chr2	33297000	33310000	11
chr2	33310000	33311000	8
chr2	33311000	33312000	7
chr2	33312000	33313000	4
chr2	33313000	33314000	3
chr2	33314000	33320000	2
chr2	33320000	33322000	1
chr2	33322000	33325000	2
chr2	33325000	33340000	2
chr2	33340000	33343000	8
chr2	33343000	33352000	9
chr2	33352000	33362000	10
chr2	33362000	33363000	8
chr2	33363000	33368000	9
chr2	33368000	33369000	8
chr2	33369000	33371000	6
chr2	33371000	33372000	5
chr2	33372000	33452000	4
chr2	33452000	33453000	5
chr2	33453000	33471000	6
chr2	33471000	33472000	10
chr2	33472000	33504000	13
chr2	33504000	33540000	14
chr2	33540000	33571000	13
chr2	33571000	33573000	9
chr2	33573000	33578000	8
chr2	33578000	33588000	9
chr2	33588000	33590000	8
chr2	33590000	33591000	7
chr2	33591000	33610000	3
chr2	33610000	33612000	4
chr2	33612000	33615000	5
chr2	33615000	33632000	7
chr2	33632000	33633000	5
chr2	33633000	33651000	4
chr2	33651000	33655000	1
chr2	33726000	33730000	1
chr2	33730000	33732000	2
chr2	33732000	33735000	4
chr2	33735000	33787000	5
chr2	33787000	33893000	6
chr2	33893000	33908000	5
chr2	33908000	33923000	17
chr2	33923000	33933000	16
chr2	33933000	33938000	10
chr2	33938000	33943000	9
chr2	33943000	33944000	10
chr2	33944000	33945000	11
chr2	33945000	33951000	19
chr2	33951000	33958000	16
chr2	33958000	33975000	15
chr2	33975000	33976000	19
chr2	33976000	33977000	22
chr2	33977000	33978000	65
chr2	33978000	33980000	79
chr2	33980000	33989000	78
chr2	33989000	33997000	77
chr2	33997000	33999000	21
chr2	33999000	34001000	15
chr2	34001000	34002000	12
chr2	34002000	34015000	11
chr2	34015000	34016000	4
chr2	34016000	34024000	3
chr2	34024000	34025000	2
chr2	34025000	34029000	3
chr2	34029000	34064000	10
chr2	34064000	34065000	8
chr2	34065000	34144000	6
chr2	34144000	34188000	5
chr2	34188000	34190000	6
chr2	34190000	34236000	9
chr2	34236000	34266000	3
chr2	34266000	34279000	2
chr2	34279000	34280000	1
chr2	34284000	34319000	1
chr2	34383000	34385000	2
chr2	34385000	34386000	5
chr2	34386000	34398000	22
chr2	34398000	34433000	27
chr2	34433000	34476000	26
chr2	34476000	34482000	25
chr2	34482000	34483000	22
chr2	34483000	34484000	16
chr2	34484000	34485000	7
chr2	34485000	34492000	5
chr2	34492000	34494000	4
chr2	34498000	34652000	1
chr2	34652000	34675000	1
chr2	34675000	34754000	2
chr2	34771000	34811000	3
chr2	34811000	34812000	4
chr2	34812000	34816000	5
chr2	34816000	34818000	3
chr2	34818000	34890000	2
chr2	34890000	34913000	1
chr2	35276000	35305000	1
chr2	35343000	35381000	1
chr2	35381000	35382000	2
chr2	35382000	35599000	1
chr2	35599000	35605000	2
chr2	35605000	35610000	3
chr2	35610000	35612000	7
chr2	35612000	35639000	24
chr2	35639000	35655000	23
chr2	35655000	35656000	22
chr2	35656000	35657000	19
chr2	35657000	35658000	18
chr2	35658000	35660000	17
chr2	35660000	35665000	16
chr2	35665000	35666000	18
chr2	35666000	35672000	19
chr2	35672000	35730000	20
chr2	35730000	35731000	20
chr2	35731000	35766000	24
chr2	35766000	35767000	20
chr2	35767000	35769000	18
chr2	35769000	35770000	15
chr2	35770000	35771000	10
chr2	35771000	35773000	5
chr2	35807000	35834000	1
chr2	35956000	35957000	1
chr2	35957000	35961000	2
chr2	35961000	36033000	8
chr2	36033000	36034000	4
chr2	36034000	36035000	1
chr2	36120000	36148000	6
chr2	36148000	36153000	3
chr2	36153000	36156000	5
chr2	36156000	36178000	11
chr2	36178000	36183000	18
chr2	36183000	36219000	19
chr2	36219000	36245000	18
chr2	36245000	36256000	23
chr2	36256000	36282000	24
chr2	36282000	36287000	23
chr2	36287000	36299000	22
chr2	36299000	36309000	17
chr2	36309000	36335000	17
chr2	36335000	36336000	8
chr2	36336000	36337000	6
chr2	36337000	36338000	5
chr2	36338000	36339000	4
chr2	36339000	36342000	3
chr2	36342000	36357000	2
chr2	36357000	36358000	1
chr2	36881000	36882000	1
chr2	36882000	36884000	3
chr2	36884000	36912000	4
chr2	36912000	36933000	3
chr2	36933000	36952000	2
chr2	37252000	37253000	1
chr2	37253000	37254000	2
chr2	37254000	37255000	4
chr2	37255000	37363000	6
chr2	37363000	37394000	4
chr2	37394000	37594000	3
chr2	37594000	37595000	2
chr2	37595000	37597000	1
chr2	38357000	38374000	1
chr2	38374000	38377000	2
chr2	38377000	38388000	3
chr2	38388000	38458000	2
chr2	38458000	38609000	1
chr2	39185000	39258000	1
chr2	39258000	39260000	2
chr2	39260000	39343000	3
chr2	39343000	39346000	2
chr2	39490000	39491000	7
chr2	39491000	39578000	9
chr2	39578000	39579000	8
chr2	39579000	39580000	7
chr2	39580000	39581000	5
chr2	39581000	39583000	3
chr2	40023000	40081000	6
chr2	40397000	40398000	1
chr2	40398000	40433000	3
chr2	40433000	40444000	1
chr2	40550000	40551000	1
chr2	40551000	40560000	2
chr2	40560000	40561000	4
chr2	40561000	40562000	7
chr2	40562000	40586000	8
chr2	40586000	40623000	9
chr2	40623000	40626000	8
chr2	40626000	40627000	4
chr2	40627000	40631000	3
chr2	40631000	40632000	2
chr2	40659000	40739000	2
chr2	40739000	40760000	1
chr2	40925000	40971000	1
chr2	41013000	41027000	1
chr2	41027000	41072000	2
chr2	41072000	41073000	1
chr2	41163000	41178000	2
chr2	41178000	41230000	3
chr2	41230000	41231000	1
chr2	42181000	42182000	1
chr2	42182000	42183000	11
chr2	42183000	42195000	28
chr2	42195000	42206000	29
chr2	42206000	42216000	30
chr2	42216000	42218000	31
chr2	42218000	42223000	19
chr2	42223000	42268000	18
chr2	42268000	42270000	6
chr2	42270000	42272000	5
chr2	42272000	42275000	1
chr2	43659000	43680000	3
chr2	44101000	44102000	1
chr2	44102000	44121000	2
chr2	44121000	44148000	1
chr2	45045000	45106000	1
chr2	45218000	45283000	1
chr2	45346000	45366000	1
chr2	45443000	45447000	1
chr2	45447000	45449000	2
chr2	45449000	45450000	6
chr2	45450000	45451000	14
chr2	45451000	45465000	15
chr2	45465000	45467000	2
chr2	45467000	45471000	1
chr2	45763000	45809000	1
chr2	46083000	46095000	1
chr2	46095000	46098000	5
chr2	46098000	46099000	15
chr2	46099000	46101000	17
chr2	46101000	46117000	18
chr2	46117000	46118000	11
chr2	46118000	46122000	8
chr2	46122000	46124000	7
chr2	46124000	46130000	6
chr2	46130000	46154000	7
chr2	46154000	46155000	5
chr2	46155000	46156000	2
chr2	46156000	46157000	3
chr2	46157000	46163000	3
chr2	46163000	46169000	7
chr2	46169000	46173000	8
chr2	46173000	46180000	6
chr2	46180000	46183000	7
chr2	46183000	46184000	10
chr2	46184000	46185000	11
chr2	46185000	46186000	14
chr2	46186000	46235000	21
chr2	46235000	46237000	3
chr2	46298000	46346000	1
chr2	46346000	46347000	2
chr2	46347000	46348000	5
chr2	46348000	46360000	6
chr2	46360000	46386000	7
chr2	46386000	46400000	6
chr2	46400000	46409000	5
chr2	46409000	46418000	1
chr2	46418000	46421000	4
chr2	46421000	46424000	5
chr2	46424000	46425000	6
chr2	46425000	46447000	9
chr2	46447000	46460000	5
chr2	46460000	46465000	4
chr2	46465000	46466000	2
chr2	46466000	46476000	1
chr2	46508000	46511000	1
chr2	46511000	46512000	3
chr2	46512000	46542000	10
chr2	46542000	46543000	9
chr2	46543000	46546000	5
chr2	46546000	46549000	2
chr2	46549000	46561000	1
chr2	46561000	46562000	5
chr2	46562000	46569000	4
chr2	46569000	46594000	5
chr2	46594000	46596000	6
chr2	46596000	46605000	8
chr2	46605000	46632000	3
chr2	46632000	46639000	1
chr2	46639000	46655000	4
chr2	46655000	46732000	2
chr2	46732000	46771000	1
chr2	46815000	46850000	1
chr2	46866000	46871000	2
chr2	46871000	46883000	3
chr2	46883000	46884000	13
chr2	46884000	46912000	18
chr2	46912000	46915000	17
chr2	46915000	46928000	18
chr2	46928000	46961000	23
chr2	46961000	46970000	24
chr2	46970000	47002000	27
chr2	47002000	47004000	22
chr2	47004000	47006000	25
chr2	47006000	47017000	28
chr2	47017000	47018000	27
chr2	47018000	47021000	26
chr2	47021000	47027000	27
chr2	47027000	47028000	28
chr2	47028000	47029000	26
chr2	47029000	47030000	25
chr2	47030000	47034000	22
chr2	47034000	47052000	20
chr2	47052000	47057000	18
chr2	47057000	47058000	1
chr2	47196000	47241000	8
chr2	47241000	47242000	6
chr2	47417000	47418000	1
